Rank,City_Name,2020_Population,2010_Population,Change,Density
1,Los Angeles,"4,015,940","3,795,370",5.81%,"3,306"
2,San Diego,"1,447,100","1,305,970",10.81%,"1,715"
3,San Jose,"1,033,670","954,492",8.30%,"2,245"
4,San Francisco,"896,047","805,550",11.23%,"7,376"
5,Fresno,"538,195","497,721",8.13%,"1,811"
6,Sacramento,"521,769","467,302",11.66%,"2,061"
7,Long Beach,"463,218","462,440",0.17%,"3,528"
8,Oakland,"435,224","391,449",11.18%,"3,006"
9,Bakersfield,"390,233","349,408",11.68%,"1,006"
10,Anaheim,"352,911","337,106",4.69%,"2,708"
11,Riverside,"336,285","305,568",10.05%,"1,598"
12,Santa Ana,"330,389","325,340",1.55%,"4,662"
13,Stockton,"316,996","292,446",8.39%,"1,969"
14,Irvine,"303,956","213,392",42.44%,"1,788"
15,Chula Vista,"277,289","244,656",13.34%,"2,157"
16,Fremont,"239,525","214,561",11.63%,"1,194"
17,Modesto,"218,758","203,314",7.60%,"1,965"
18,Fontana,"218,573","197,342",10.76%,"1,959"
19,San Bernardino,"217,671","209,853",3.73%,"1,353"
20,Moreno Valley,"212,992","194,241",9.65%,"1,604"
21,Oxnard,"212,715","198,465",7.18%,"3,096"
22,Santa Clarita,"210,543","204,213",3.10%,"1,149"
23,Glendale,"204,765","191,726",6.80%,"2,595"
24,Huntington Beach,"201,941","191,303",5.56%,"2,887"
25,Ontario,"186,653","164,369",13.56%,"1,442"
26,Rancho Cucamonga,"180,031","166,232",8.30%,"1,733"
27,Elk Grove,"177,406","153,394",15.65%,"1,630"
28,Santa Rosa,"177,132","175,304",1.04%,"1,608"
29,Oceanside,"176,950","167,919",5.38%,"1,656"
30,Corona,"171,213","153,249",11.72%,"1,653"
31,Garden Grove,"170,328","171,186",-0.50%,"3,662"
32,Hayward,"161,314","144,746",11.45%,"1,368"
33,Lancaster,"158,627","156,822",1.15%,650
34,Palmdale,"156,299","152,962",2.18%,569
35,Salinas,"155,619","150,904",3.12%,"2,565"
36,Sunnyvale,"152,427","140,465",8.52%,"2,671"
37,Pomona,"152,405","149,083",2.23%,"2,560"
38,Escondido,"152,245","144,437",5.41%,"1,575"
39,Roseville,"143,921","119,795",20.14%,"1,261"
40,Torrance,"143,912","145,183",-0.88%,"2,708"
41,Pasadena,"141,695","137,123",3.33%,"2,383"
42,Orange,"138,816","136,762",1.50%,"2,088"
43,Fullerton,"138,200","135,299",2.14%,"2,379"
44,Visalia,"137,272","124,867",9.93%,"1,398"
45,Concord,"130,664","122,507",6.66%,"1,651"
46,Santa Clara,"129,972","116,808",11.27%,"2,753"
47,Thousand Oaks,"127,228","126,729",0.39%,889
48,Simi Valley,"126,191","124,469",1.38%,"1,173"
49,Vallejo,"123,073","116,127",5.98%,"1,542"
50,Victorville,"122,870","116,281",5.67%,644
51,Berkeley,"122,667","112,875",8.68%,"4,522"
52,East Los Angeles,"119,827","126,496",-5.27%,"6,212"
53,Fairfield,"119,568","105,562",13.27%,"1,121"
54,Carlsbad,"118,313","105,679",11.96%,"1,210"
55,Clovis,"118,014","96,246",22.62%,"1,793"
56,Murrieta,"118,005","104,181",13.27%,"1,356"
57,Temecula,"117,852","100,710",17.02%,"1,221"
58,El Monte,"115,508","113,658",1.63%,"4,664"
59,Costa Mesa,"115,081","110,225",4.41%,"2,813"
60,Jurupa Valley,"113,375","95,593",18.60%,"1,019"
61,Antioch,"112,225","103,082",8.87%,"1,476"
62,Ventura,"111,566","107,458",3.82%,"1,969"
63,Downey,"111,329","111,788",-0.41%,"3,464"
64,Richmond,"110,414","103,639",6.54%,"1,418"
65,Inglewood,"108,695","109,687",-0.90%,"4,628"
66,Santa Maria,"108,366","99,690",8.70%,"1,835"
67,Daly City,"106,598","101,282",5.25%,"5,387"
68,West Covina,"105,327","106,128",-0.75%,"2,535"
69,San Mateo,"104,983","97,399",7.79%,"3,330"
70,Norwalk,"104,356","105,547",-1.13%,"4,150"
71,Rialto,"104,108","99,338",4.80%,"1,675"
72,Burbank,"103,865","103,357",0.49%,"2,316"
73,Vacaville,"103,336","92,563",11.64%,"1,365"
74,El Cajon,"103,113","99,754",3.37%,"2,743"
75,Vista,"101,200","93,566",8.16%,"2,084"
76,Arden-Arcade,"100,548","92,186",9.07%,"2,185"
77,San Marcos,"98,237","83,942",17.03%,"1,557"
78,Chico,"97,962","86,788",12.88%,"1,130"
79,Hesperia,"97,728","90,300",8.23%,519
80,Menifee,"96,691","78,044",23.89%,803
81,Comn,"96,145","96,454",-0.32%,"3,702"
82,Chino,"95,865","78,657",21.88%,"1,249"
83,Tracy,"94,808","83,606",13.40%,"1,414"
84,Mission Viejo,"94,000","93,237",0.82%,"2,050"
85,Indio,"93,738","79,648",17.69%,"1,089"
86,South Gate,"93,645","94,438",-0.84%,"4,997"
87,Redding,"92,562","89,900",2.96%,599
88,Santa Barbara,"91,340","88,470",3.24%,"1,808"
89,Livermore,"91,259","81,591",11.85%,"1,304"
90,Carson,"91,147","91,607",-0.50%,"1,879"
91,Santa Monica,"90,555","89,763",0.88%,"4,155"
92,Westminster,"90,256","89,769",0.54%,"3,471"
93,San Leandro,"88,965","85,113",4.53%,"2,575"
94,Citrus Heights,"88,890","83,364",6.63%,"2,411"
95,Redwood City,"88,314","77,018",14.67%,"1,770"
96,Lake Forest,"87,345","77,558",12.62%,"2,028"
97,Chino Hills,"86,777","74,973",15.74%,750
98,Hemet,"86,621","79,087",9.53%,"1,143"
99,Hawthorne,"86,215","84,302",2.27%,"5,472"
100,Manteca,"86,064","67,674",27.17%,"1,554"
101,Whittier,"85,520","85,323",0.23%,"2,254"
102,Mountain View,"84,067","74,227",13.26%,"2,707"
103,Merced,"83,964","79,134",6.10%,"1,396"
104,Alhambra,"83,961","83,163",0.96%,"4,248"
105,Newport Beach,"83,784","85,343",-1.83%,"1,358"
